SUBMISSIONYEARQUARTER,PWSID,PWS_ACTIVITY_CODE,POPULATION_SERVED_COUNT,STATE_CODE
2026Q2,MN5730425,A,100,MN
2026Q2,WA53AE219,A,24,WA
2026Q2,MI2030334,A,60,MI
2026Q2,MI2043408,A,80,MI
2026Q2,MI2001308,A,80,MI
2026Q2,MI2013664,A,50,MI
2026Q2,MN5730644,A,35,MN
2026Q2,MN5200014,A,50,MN
2026Q2,MN5270826,A,500,MN
2026Q2,TX1011974,A,110,TX
2026Q2,TX1480001,A,1516,TX
2026Q2,TX0080064,A,50,TX
2026Q2,MN1620019,A,125,CA
2026Q2,LA1065004,A,3531,LA
2026Q2,LA1119006,A,297,LA
2026Q2,LA1097010,A,20388,LA
2026Q2,MN5340056,A,94,MN
2026Q2,TX2350057,A,122,TX
2026Q2,MN5130012,A,120,MN
2026Q2,MN5100121,A,25,MN
2026Q2,TX0600018,A,3306,TX
2026Q2,MN5180990,A,40,MN
2026Q2,MN5250259,A,100,MN
2026Q2,MN5340227,A,350,MN
2026Q2,MN5160370,A,100,MN
2026Q2,MN5294711,A,25,MN
2026Q2,MN5110873,A,150,MN
2026Q2,WA5305348,A,100,WA
2026Q2,WA5305657,A,47,WA
2026Q2,OH6041312,A,25,OH
2026Q2,OH7726412,A,25,OH
2026Q2,OH3735012,A,25,OH
2026Q2,OH7447312,A,75,OH
2026Q2,TX0370004,A,853,TX
2026Q2,TX1810186,A,8231,TX
2026Q2,OH8330512,A,56,OH
2026Q2,WA53AA517,A,31,WA
2026Q2,OH6203211,A,6500,OH
2026Q2,OH3839412,A,77,OH
2026Q2,OH6402403,A,250,OH
2026Q2,OH1400912,A,2564,OH
2026Q2,OH6401111,A,1490,OH
2026Q2,TX1080029,A,171195,TX
2026Q2,OH2301812,A,490,OH
2026Q2,OH2303212,A,1428,OH
2026Q2,OH4555912,A,60,OH
2026Q2,OH4555812,A,40,OH
2026Q2,OH3335112,A,55,OH
2026Q2,OH8841212,A,55,OH
2026Q2,OH4555612,A,60,OH
2026Q2,OH2557012,A,60,OH
2026Q2,OH8558712,A,100,OH
2026Q2,OH1564712,A,60,OH
2026Q2,OH8301312,A,3891,OH
2026Q2,OH8361413,A,180,OH
2026Q2,NM3581826,A,200,NM
2026Q2,TX0840221,A,85,TX
2026Q2,TX0790508,A,75,UT
2026Q2,OH6900912,A,1204,OH
2026Q2,CT1080084,A,25,CT
2026Q2,VT0000722,A,140,VT
2026Q2,OH4567622,A,154,OH
2026Q2,OH7836812,A,45,OH
2026Q2,OH6749612,A,150,OH
2026Q2,OH8000012,A,100,CO
2026Q2,OH2566412,A,150,OH
2026Q2,CT0910314,A,25,CT
2026Q2,VT0001166,A,123,VT
2026Q2,VT0005201,A,66,VT
